#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV12244	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12245	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12246	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12247	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12248	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12249	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12250	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12251	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12252	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12253	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12254	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12255	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12256	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12257	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12258	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12259	GS|92.9|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV12260	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12261	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12262	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12263	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12264	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12265	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12266	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12267	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12268	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12269	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12270	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12271	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12272	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12273	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12274	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12275	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12276	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12277	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12278	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12279	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12280	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12281	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12282	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12283	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12284	SS|0.9700|UDB03078975|SH0951714.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Libertasomycetaceae,g:Libertasomyces	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Libertasomycetaceae,g:Libertasomyces	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Libertasomycetaceae,g:Libertasomyces	No hit
ASV12285	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12286	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12287	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12288	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12289	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV12290	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12291	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12292	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12293	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12294	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12295	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12296	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12297	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12298	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12299	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12300	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12301	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12302	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12303	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12304	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV12305	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12306	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12307	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Rhizaria,p:Cercozoa	No hit
ASV12308	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12309	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12310	SS|1.0000|UDB06815716|SH0963905.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Tulostoma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Tulostoma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Tulostoma	No hit
ASV12311	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12312	SS|1.0000|UDB0124871|SH1066913.09FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	No hit
ASV12313	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12314	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12315	SS|1.0000|UDB01529029|SH1111935.09FU;k:Fungi	k:Fungi,p:Blastocladiomycota	k:Fungi	No hit
ASV12316	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12317	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12318	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12319	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12320	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12321	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12322	GS|100.0|UDB02747476|SH1097022.09FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi,p:Ascomycota,c:Lecanoromycetes	No hit
ASV12325	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12326	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12327	GS|0.0|None;No hit	No hit	No hit	No hit
