#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV1055	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1056	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1057	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1058	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1059	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1060	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1061	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV1062	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1063	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1064	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1065	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1066	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1067	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV1068	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1069	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1070	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1071	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV1072	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1073	GS|96.4|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV1074	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1075	SS|1.0000|JX984791|SH1049501.09FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi	No hit
ASV1076	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1077	GS|100.0|GU909821|SH1049476.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi	No hit
ASV1078	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Rhizaria,p:Cercozoa	No hit
ASV1079	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1080	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1081	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1082	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1083	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1084	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1085	GS|96.4|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV1086	GS|100.0|UDB01606313|SH1171217.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae	No hit
ASV1087	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1088	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1089	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1090	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1091	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1092	GS|99.5|EU144551|SH1290603.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	No hit
ASV1093	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1094	GS|100.0|UDB07019066|SH0882928.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Sigarispora	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Sigarispora	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma	No hit
ASV1095	SS|0.8200|MH857702|SH0954377.09FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae,g:Sarcogyne,s:Sarcogyne similis	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae	No hit
ASV1096	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1097	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1098	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1099	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Rhizaria,p:Cercozoa	No hit
ASV1100	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1101	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1102	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1103	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1104	GSL|100.0|MT818396|SH1060460.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium oxysporum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium oxysporum	No hit
ASV1105	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1106	GSL|100.0|KP411553|SH0956600.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus	k:Fungi	No hit
ASV1107	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1108	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1109	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1110	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1111	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1112	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1113	SS|1.0000|UDB01718888|SH1257921.09FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	No hit
ASV1114	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV1115	GSL|100.0|EF194846|SH1008764.09FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	No hit
ASV1116	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1117	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1118	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1119	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1120	GS|99.2|UDB02998059|SH0960160.09FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Rhynchogastremataceae,g:Papiliotrema	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Rhynchogastremataceae,g:Papiliotrema	k:Fungi	No hit
ASV1121	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1122	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1123	GS|100.0|AY997030|SH1250545.09FU;k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus,s:Basidiobolus ranarum	k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus,s:Basidiobolus ranarum	k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus	No hit
ASV1124	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1125	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1126	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1127	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1128	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1129	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1130	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1131	GS|97.7|JX984791|SH1049501.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi	No hit
ASV1132	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1133	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1134	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1135	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1136	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1137	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1138	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1139	GS|100.0|MZ300873|SH1228198.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium,s:Penicillium brevicompactum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium,s:Penicillium brevicompactum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	No hit
ASV1140	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV1141	GS|96.4|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV1142	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1143	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1144	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1145	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1146	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1147	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1148	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1149	SS|0.9500|UDB03320067|SH1045657.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
ASV1150	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1151	GS|99.4|JX188242|SH1091136.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Inopinatum,s:Inopinatum lactosum	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Inopinatum,s:Inopinatum lactosum	No hit
ASV1152	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1153	GS|100.0|UDB05329072|SH1167468.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	No hit
ASV1154	GS|78.4|UDB03261840|SH1202449.09FU;k:Rhizaria,p:Haplosporidia	k:Rhizaria,p:Haplosporidia	No hit	No hit
ASV1155	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1156	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1157	GS|100.0|UDB01969698|SH1154232.09FU;k:Choanoflagellozoa,p:Choanoflagellata,o:Choanoflagellida	k:Choanoflagellozoa,p:Choanoflagellata,o:Choanoflagellida	No hit	No hit
ASV1158	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1159	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1160	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1161	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1162	SS|1.0000|UDB06390493|SH1016985.09FU;k:Fungi	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae	k:Fungi	No hit
ASV1163	GS|98.9|UDB02715324|SH0971567.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae	No hit
ASV1164	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1165	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1166	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1167	GS|100.0|UDB03056722|SH0945385.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Cladorrhinum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Cladorrhinum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Cladorrhinum	No hit
ASV1168	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1169	GS|99.5|OL711775|SH0942099.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus carlsbadensis	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus carlsbadensis	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus sigurros	No hit
ASV1170	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1171	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1172	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1173	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1174	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1175	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1176	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1177	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1178	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV1179	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1180	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1181	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1182	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1183	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1184	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1185	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1186	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1187	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1188	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1189	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1190	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1191	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1192	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1193	GS|98.3|EU479772|SH0898370.09FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Oedocephalum	k:Fungi	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Oedocephalum	No hit
ASV1194	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1195	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1196	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1197	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1198	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1199	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1200	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1201	SS|1.0000|UDB0234597|SH1131914.09FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	No hit
ASV1202	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1203	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1204	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1205	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1206	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV1207	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1208	GSL|99.6|OK172337|SH1288445.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae	k:Fungi	No hit
ASV1209	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1210	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1211	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1212	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1213	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1214	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1215	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1216	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1217	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1218	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1219	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1220	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1221	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1222	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1223	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1224	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1225	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1226	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1227	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1228	SS|0.9500|HQ191299|SH0931297.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	No hit
ASV1229	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1230	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1231	GS|100.0|UDB0985663|SH1301428.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi	No hit
ASV1232	SS|0.8000|LC603022|SH0912699.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi,p:Ascomycota,c:Eurotiomycetes	No hit
ASV1233	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1234	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1235	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1236	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1237	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1238	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1239	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1240	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1241	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1242	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1243	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1244	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1245	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1246	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1247	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1248	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1249	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1250	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1251	SS|1.0000|KF535949|SH1174631.09FU;k:Metazoa	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Metazoa	No hit
ASV1252	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1253	GS|100.0|UDB02310771|SH0898370.09FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Oedocephalum	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Oedocephalum	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae,g:Oedocephalum	No hit
ASV1254	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1255	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1256	GS|100.0|EF392519|SH1250545.09FU;k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus,s:Basidiobolus ranarum	k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus,s:Basidiobolus ranarum	k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus	No hit
ASV1257	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1258	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1259	GS|99.4|EU144632|SH0999550.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	No hit
ASV1260	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1261	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1262	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1263	GS|82.4|KC966329|SH1318722.09FU;k:Fungi	k:Fungi	No hit	No hit
ASV1264	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1265	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1266	SS|0.8800|KT861359|SH0933047.09FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae,g:Pseudotricharina,s:Pseudotricharina intermedia	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	No hit
ASV1267	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1268	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1269	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1270	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1271	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1272	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1273	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1274	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1275	SS|1.0000|UDB01727905|SH0950046.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	No hit
ASV1276	SS|1.0000|JX984789|SH0921831.09FU;k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi	No hit
ASV1277	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1278	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1279	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1280	GS|0.0|None;No hit	No hit	No hit	No hit
ASV1281	GS|100.0|EU082232|SH1295650.09FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans	No hit
