#OTU ID	SRR9106059	SRR9106060	SRR9106061	SRR9106062	SRR9106063	SRR9106064	SRR9106065	SRR9106066	SRR9106067	SRR9106068	SRR9106069	SRR9106070	SRR9106071	SRR9106072	SRR9106073	SRR9106074	SRR9106075	SRR9106076	SRR9106077	SRR9106078	SRR9106079	SRR9106080	SRR9106081	SRR9106082	SRR9106083	SRR9106084	SRR9106085	SRR9106086	SRR9106087	SRR9106088	SRR9106089	SRR9106090	SRR9106091	SRR9106092	SRR9106093	SRR9106094	SRR9106095	SRR9106096	SRR9106097	SRR9106098	SRR9106099	SRR9106100	SRR9106101	SRR9106102	SRR9106103	SRR9106104	SRR9106105	SRR9106106
OTU360	0	0	0	0	0	16	0	572	0	65	0	48	0	198	59	0	0	0	0	0	0	0	21	9	0	0	6	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	63	13	0	0
OTU361	6	50	177	0	198	31	195	28	103	14	88	12	113	40	16	98	24	17	91	28	28	39	54	77	69	79	43	89	237	4	126	19	128	4	80	104	14	27	20	97	37	86	31	206	68	136	226	102
OTU362	72	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	8	0	0	0	0	0	36	0	1	47	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
OTU363	5	24	43	0	78	3	21	16	25	3	13	11	26	6	6	59	21	6	89	13	15	3	9	32	21	19	28	24	79	2	61	25	60	6	56	17	3	9	1	16	4	36	5	42	17	20	73	32
OTU364	0	3	32	0	16	11	8	60	3	4	10	59	6	47	19	9	2	0	8	23	11	4	3	29	5	16	25	17	33	0	4	0	0	0	6	21	0	23	3	6	410	29	38	5	25	29	15	6
OTU365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	362	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1145	0	0	28	0	0	0	0	0	0	0	0	0	0	0
OTU367	15	135	125	0	305	1	1	43	23	4	53	8	11	6	8	90	32	16	135	37	20	6	31	53	53	46	50	81	141	0	171	45	88	3	239	48	27	12	3	1	30	17	2	121	38	20	288	47
OTU368	3	25	21	0	29	48	0	54	2	12	1	45	0	47	16	53	14	130	49	76	11	5	7	33	35	23	46	25	9	3	10	12	34	109	18	33	17	25	6	2	183	5	85	1	43	14	19	6
OTU369	0	0	102	0	515	67	374	6	1040	0	147	20	385	0	0	144	71	0	110	16	0	0	0	0	0	17	9	45	20	0	45	0	197	0	410	14	0	0	80	385	23	450	0	15	0	153	509	164
OTU370	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	587
OTU371	0	0	0	45	0	0	0	0	0	0	0	0	0	376	0	0	0	0	18	220	52	0	8	0	0	0	0	3	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0
OTU372	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	0	3	131	5	0	0	0	0	13	0	29	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	0
OTU373	52	260	222	0	265	113	11	120	54	38	126	76	63	110	53	260	60	100	86	55	151	178	107	88	72	92	45	250	356	30	153	71	269	13	106	57	81	54	143	42	94	180	133	159	112	117	184	75
OTU374	24	12	0	8	37	219	0	6	11	2	4	3	0	64	0	0	138	11	0	10	9	31	8	4	14	4	4	0	0	0	0	6	0	0	0	8	0	4	11	0	408	0	47	16	21	8	0	4
OTU375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	134	0	0	0	0	0	699	0	0
