	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV20375	Fungi	NA	NA	NA	NA	NA	NA
ASV20376	NA	NA	NA	NA	NA	NA	NA
ASV20378	NA	NA	NA	NA	NA	NA	NA
ASV20379	NA	NA	NA	NA	NA	NA	NA
ASV20380	NA	NA	NA	NA	NA	NA	NA
ASV20381	NA	NA	NA	NA	NA	NA	NA
ASV20382	NA	NA	NA	NA	NA	NA	NA
ASV20383	NA	NA	NA	NA	NA	NA	NA
ASV20384	NA	NA	NA	NA	NA	NA	NA
ASV20385	NA	NA	NA	NA	NA	NA	NA
ASV20386	NA	NA	NA	NA	NA	NA	NA
ASV20387	NA	NA	NA	NA	NA	NA	NA
ASV20388	NA	NA	NA	NA	NA	NA	NA
ASV20389	NA	NA	NA	NA	NA	NA	NA
ASV20390	NA	NA	NA	NA	NA	NA	NA
ASV20391	NA	NA	NA	NA	NA	NA	NA
ASV20392	NA	NA	NA	NA	NA	NA	NA
ASV20393	NA	NA	NA	NA	NA	NA	NA
ASV20394	NA	NA	NA	NA	NA	NA	NA
ASV20395	NA	NA	NA	NA	NA	NA	NA
ASV20396	NA	NA	NA	NA	NA	NA	NA
ASV20397	NA	NA	NA	NA	NA	NA	NA
ASV20398	NA	NA	NA	NA	NA	NA	NA
ASV20399	NA	NA	NA	NA	NA	NA	NA
ASV20400	NA	NA	NA	NA	NA	NA	NA
ASV20401	NA	NA	NA	NA	NA	NA	NA
ASV20402	NA	NA	NA	NA	NA	NA	NA
ASV20403	NA	NA	NA	NA	NA	NA	NA
ASV20404	NA	NA	NA	NA	NA	NA	NA
ASV20405	NA	NA	NA	NA	NA	NA	NA
ASV20406	NA	NA	NA	NA	NA	NA	NA
ASV20407	NA	NA	NA	NA	NA	NA	NA
ASV20408	NA	NA	NA	NA	NA	NA	NA
ASV20409	NA	NA	NA	NA	NA	NA	NA
ASV20410	NA	NA	NA	NA	NA	NA	NA
ASV20411	NA	NA	NA	NA	NA	NA	NA
ASV20412	NA	NA	NA	NA	NA	NA	NA
ASV20413	NA	NA	NA	NA	NA	NA	NA
ASV20414	NA	NA	NA	NA	NA	NA	NA
ASV20415	NA	NA	NA	NA	NA	NA	NA
ASV20416	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces	NA
ASV20418	NA	NA	NA	NA	NA	NA	NA
ASV20419	NA	NA	NA	NA	NA	NA	NA
ASV20420	NA	NA	NA	NA	NA	NA	NA
ASV20421	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
ASV20422	NA	NA	NA	NA	NA	NA	NA
ASV20423	NA	NA	NA	NA	NA	NA	NA
ASV20424	NA	NA	NA	NA	NA	NA	NA
ASV20425	NA	NA	NA	NA	NA	NA	NA
ASV20426	NA	NA	NA	NA	NA	NA	NA
ASV20427	NA	NA	NA	NA	NA	NA	NA
ASV20428	NA	NA	NA	NA	NA	NA	NA
ASV20429	NA	NA	NA	NA	NA	NA	NA
ASV20430	NA	NA	NA	NA	NA	NA	NA
ASV20431	NA	NA	NA	NA	NA	NA	NA
ASV20432	NA	NA	NA	NA	NA	NA	NA
ASV20433	NA	NA	NA	NA	NA	NA	NA
ASV20434	NA	NA	NA	NA	NA	NA	NA
ASV20435	NA	NA	NA	NA	NA	NA	NA
ASV20437	NA	NA	NA	NA	NA	NA	NA
ASV20439	NA	NA	NA	NA	NA	NA	NA
ASV20440	NA	NA	NA	NA	NA	NA	NA
ASV20441	NA	NA	NA	NA	NA	NA	NA
ASV20442	NA	NA	NA	NA	NA	NA	NA
ASV20443	NA	NA	NA	NA	NA	NA	NA
ASV20444	NA	NA	NA	NA	NA	NA	NA
ASV20445	NA	NA	NA	NA	NA	NA	NA
ASV20446	NA	NA	NA	NA	NA	NA	NA
ASV20447	NA	NA	NA	NA	NA	NA	NA
ASV20448	NA	NA	NA	NA	NA	NA	NA
ASV20449	NA	NA	NA	NA	NA	NA	NA
ASV20450	NA	NA	NA	NA	NA	NA	NA
ASV20451	NA	NA	NA	NA	NA	NA	NA
ASV20452	NA	NA	NA	NA	NA	NA	NA
ASV20453	NA	NA	NA	NA	NA	NA	NA
ASV20454	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20455	NA	NA	NA	NA	NA	NA	NA
ASV20461	NA	NA	NA	NA	NA	NA	NA
ASV20462	NA	NA	NA	NA	NA	NA	NA
ASV20463	NA	NA	NA	NA	NA	NA	NA
ASV20464	NA	NA	NA	NA	NA	NA	NA
ASV20465	NA	NA	NA	NA	NA	NA	NA
ASV20466	NA	NA	NA	NA	NA	NA	NA
ASV20467	NA	NA	NA	NA	NA	NA	NA
ASV20468	NA	NA	NA	NA	NA	NA	NA
ASV20469	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Sphaceloma	Sphaceloma ixorae
ASV20471	NA	NA	NA	NA	NA	NA	NA
ASV20472	NA	NA	NA	NA	NA	NA	NA
ASV20473	NA	NA	NA	NA	NA	NA	NA
ASV20474	NA	NA	NA	NA	NA	NA	NA
ASV20475	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20476	NA	NA	NA	NA	NA	NA	NA
ASV20477	NA	NA	NA	NA	NA	NA	NA
ASV20478	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20479	NA	NA	NA	NA	NA	NA	NA
ASV20480	NA	NA	NA	NA	NA	NA	NA
ASV20481	NA	NA	NA	NA	NA	NA	NA
ASV20482	NA	NA	NA	NA	NA	NA	NA
ASV20483	NA	NA	NA	NA	NA	NA	NA
ASV20484	NA	NA	NA	NA	NA	NA	NA
ASV20486	NA	NA	NA	NA	NA	NA	NA
ASV20487	NA	NA	NA	NA	NA	NA	NA
ASV20488	NA	NA	NA	NA	NA	NA	NA
ASV20489	NA	NA	NA	NA	NA	NA	NA
ASV20490	NA	NA	NA	NA	NA	NA	NA
ASV20491	NA	NA	NA	NA	NA	NA	NA
ASV20492	NA	NA	NA	NA	NA	NA	NA
ASV20493	NA	NA	NA	NA	NA	NA	NA
ASV20494	NA	NA	NA	NA	NA	NA	NA
ASV20495	NA	NA	NA	NA	NA	NA	NA
ASV20496	NA	NA	NA	NA	NA	NA	NA
ASV20497	NA	NA	NA	NA	NA	NA	NA
ASV20498	NA	NA	NA	NA	NA	NA	NA
ASV20499	NA	NA	NA	NA	NA	NA	NA
ASV20500	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
ASV20501	NA	NA	NA	NA	NA	NA	NA
ASV20502	NA	NA	NA	NA	NA	NA	NA
ASV20503	Fungi	NA	NA	NA	NA	NA	NA
ASV20504	NA	NA	NA	NA	NA	NA	NA
ASV20505	NA	NA	NA	NA	NA	NA	NA
ASV20506	NA	NA	NA	NA	NA	NA	NA
ASV20507	NA	NA	NA	NA	NA	NA	NA
ASV20508	NA	NA	NA	NA	NA	NA	NA
ASV20509	NA	NA	NA	NA	NA	NA	NA
ASV20510	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	NA
ASV20512	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	Tulostoma pulchellum
ASV20513	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola asteroides
ASV20514	NA	NA	NA	NA	NA	NA	NA
ASV20515	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia epilithographicola
ASV20516	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Uwebraunia	NA
ASV20519	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium chernovii
ASV20521	NA	NA	NA	NA	NA	NA	NA
ASV20522	NA	NA	NA	NA	NA	NA	NA
ASV20523	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20524	NA	NA	NA	NA	NA	NA	NA
ASV20527	NA	NA	NA	NA	NA	NA	NA
ASV20528	NA	NA	NA	NA	NA	NA	NA
ASV20530	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	Neophaeomoniella eucalypti
ASV20531	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora socialis
ASV20532	NA	NA	NA	NA	NA	NA	NA
ASV20533	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria eureka
ASV20534	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20537	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	NA	NA
ASV20538	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Spiromastix	NA
ASV20539	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
ASV20541	NA	NA	NA	NA	NA	NA	NA
ASV20544	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Circinella	Circinella ramosa
ASV20545	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20546	Fungi	Blastocladiomycota	NA	NA	NA	NA	NA
ASV20547	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20548	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NA
ASV20549	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Circinella	Circinella ramosa
ASV20550	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20551	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20552	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
ASV20554	NA	NA	NA	NA	NA	NA	NA
ASV20556	Ichthyosporia	NA	NA	NA	NA	NA	NA
ASV20557	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV20558	NA	NA	NA	NA	NA	NA	NA
ASV20559	NA	NA	NA	NA	NA	NA	NA
ASV20560	Fungi	NA	NA	NA	NA	NA	NA
ASV20561	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20562	NA	NA	NA	NA	NA	NA	NA
ASV20563	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20564	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20565	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV20566	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria brassicae
ASV20568	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV20569	NA	NA	NA	NA	NA	NA	NA
ASV20570	NA	NA	NA	NA	NA	NA	NA
ASV20572	NA	NA	NA	NA	NA	NA	NA
ASV20573	NA	NA	NA	NA	NA	NA	NA
ASV20575	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV20576	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV20577	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV20578	NA	NA	NA	NA	NA	NA	NA
ASV20579	NA	NA	NA	NA	NA	NA	NA
ASV20580	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium aphidis
ASV20581	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20582	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	NA	NA
ASV20583	Fungi	NA	NA	NA	NA	NA	NA
ASV20584	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV20585	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20586	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20587	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20588	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA
ASV20589	NA	NA	NA	NA	NA	NA	NA
ASV20591	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV20592	NA	NA	NA	NA	NA	NA	NA
ASV20593	NA	NA	NA	NA	NA	NA	NA
ASV20594	NA	NA	NA	NA	NA	NA	NA
ASV20597	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
ASV20598	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Coelodictyosporium	Coelodictyosporium pseudodictyosporium
ASV20599	Fungi	NA	NA	NA	NA	NA	NA
ASV20600	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella centenaria
ASV20602	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20603	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20604	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neopyrenochaetaceae	Neopyrenochaeta	Neopyrenochaeta telephoni
ASV20605	NA	NA	NA	NA	NA	NA	NA
ASV20607	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	NA
ASV20608	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV20610	NA	NA	NA	NA	NA	NA	NA
ASV20613	NA	NA	NA	NA	NA	NA	NA
ASV20614	NA	NA	NA	NA	NA	NA	NA
ASV20616	NA	NA	NA	NA	NA	NA	NA
ASV20618	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20620	NA	NA	NA	NA	NA	NA	NA
ASV20621	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV20622	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV20623	Fungi	NA	NA	NA	NA	NA	NA
ASV20624	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV20625	NA	NA	NA	NA	NA	NA	NA
ASV20626	Fungi	NA	NA	NA	NA	NA	NA
ASV20627	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus pannorum
ASV20631	Fungi	NA	NA	NA	NA	NA	NA
ASV20632	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20633	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV20634	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV20635	NA	NA	NA	NA	NA	NA	NA
ASV20636	NA	NA	NA	NA	NA	NA	NA
ASV20637	Fungi	NA	NA	NA	NA	NA	NA
ASV20638	NA	NA	NA	NA	NA	NA	NA
ASV20639	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Phylloporus	Phylloporus purpurellus
ASV20641	NA	NA	NA	NA	NA	NA	NA
ASV20642	NA	NA	NA	NA	NA	NA	NA
ASV20643	NA	NA	NA	NA	NA	NA	NA
ASV20644	NA	NA	NA	NA	NA	NA	NA
ASV20645	NA	NA	NA	NA	NA	NA	NA
ASV20646	NA	NA	NA	NA	NA	NA	NA
ASV20647	NA	NA	NA	NA	NA	NA	NA
ASV20648	NA	NA	NA	NA	NA	NA	NA
ASV20649	NA	NA	NA	NA	NA	NA	NA
ASV20650	NA	NA	NA	NA	NA	NA	NA
ASV20651	NA	NA	NA	NA	NA	NA	NA
ASV20652	NA	NA	NA	NA	NA	NA	NA
ASV20653	NA	NA	NA	NA	NA	NA	NA
ASV20654	NA	NA	NA	NA	NA	NA	NA
ASV20655	NA	NA	NA	NA	NA	NA	NA
ASV20656	NA	NA	NA	NA	NA	NA	NA
ASV20657	NA	NA	NA	NA	NA	NA	NA
ASV20658	NA	NA	NA	NA	NA	NA	NA
ASV20659	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20660	NA	NA	NA	NA	NA	NA	NA
ASV20662	NA	NA	NA	NA	NA	NA	NA
ASV20663	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20664	NA	NA	NA	NA	NA	NA	NA
ASV20665	Fungi	NA	NA	NA	NA	NA	NA
ASV20666	NA	NA	NA	NA	NA	NA	NA
ASV20667	NA	NA	NA	NA	NA	NA	NA
ASV20668	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV20669	NA	NA	NA	NA	NA	NA	NA
ASV20670	NA	NA	NA	NA	NA	NA	NA
ASV20671	NA	NA	NA	NA	NA	NA	NA
ASV20672	NA	NA	NA	NA	NA	NA	NA
ASV20673	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20674	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20675	NA	NA	NA	NA	NA	NA	NA
ASV20676	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV20677	NA	NA	NA	NA	NA	NA	NA
ASV20679	NA	NA	NA	NA	NA	NA	NA
ASV20680	NA	NA	NA	NA	NA	NA	NA
ASV20681	NA	NA	NA	NA	NA	NA	NA
ASV20682	NA	NA	NA	NA	NA	NA	NA
ASV20683	NA	NA	NA	NA	NA	NA	NA
ASV20684	NA	NA	NA	NA	NA	NA	NA
ASV20685	NA	NA	NA	NA	NA	NA	NA
ASV20686	NA	NA	NA	NA	NA	NA	NA
ASV20687	NA	NA	NA	NA	NA	NA	NA
ASV20688	NA	NA	NA	NA	NA	NA	NA
ASV20689	NA	NA	NA	NA	NA	NA	NA
ASV20690	NA	NA	NA	NA	NA	NA	NA
ASV20691	NA	NA	NA	NA	NA	NA	NA
ASV20692	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	NA
ASV20693	NA	NA	NA	NA	NA	NA	NA
ASV20694	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
ASV20695	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV20696	NA	NA	NA	NA	NA	NA	NA
ASV20697	NA	NA	NA	NA	NA	NA	NA
ASV20698	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20699	NA	NA	NA	NA	NA	NA	NA
ASV20702	Fungi	NA	NA	NA	NA	NA	NA
ASV20703	NA	NA	NA	NA	NA	NA	NA
ASV20704	NA	NA	NA	NA	NA	NA	NA
ASV20705	NA	NA	NA	NA	NA	NA	NA
ASV20706	NA	NA	NA	NA	NA	NA	NA
ASV20707	NA	NA	NA	NA	NA	NA	NA
ASV20708	NA	NA	NA	NA	NA	NA	NA
ASV20709	NA	NA	NA	NA	NA	NA	NA
ASV20710	NA	NA	NA	NA	NA	NA	NA
ASV20711	NA	NA	NA	NA	NA	NA	NA
ASV20712	NA	NA	NA	NA	NA	NA	NA
ASV20713	NA	NA	NA	NA	NA	NA	NA
ASV20714	NA	NA	NA	NA	NA	NA	NA
ASV20715	NA	NA	NA	NA	NA	NA	NA
ASV20716	NA	NA	NA	NA	NA	NA	NA
ASV20717	NA	NA	NA	NA	NA	NA	NA
ASV20718	NA	NA	NA	NA	NA	NA	NA
ASV20719	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Libertasomycetaceae	Libertasomyces	NA
ASV20720	NA	NA	NA	NA	NA	NA	NA
ASV20721	NA	NA	NA	NA	NA	NA	NA
ASV20722	NA	NA	NA	NA	NA	NA	NA
ASV20723	NA	NA	NA	NA	NA	NA	NA
ASV20724	NA	NA	NA	NA	NA	NA	NA
ASV20725	NA	NA	NA	NA	NA	NA	NA
ASV20726	NA	NA	NA	NA	NA	NA	NA
ASV20727	NA	NA	NA	NA	NA	NA	NA
ASV20728	NA	NA	NA	NA	NA	NA	NA
ASV20729	NA	NA	NA	NA	NA	NA	NA
ASV20730	NA	NA	NA	NA	NA	NA	NA
ASV20731	NA	NA	NA	NA	NA	NA	NA
ASV20732	NA	NA	NA	NA	NA	NA	NA
ASV20733	NA	NA	NA	NA	NA	NA	NA
ASV20738	NA	NA	NA	NA	NA	NA	NA
ASV20739	NA	NA	NA	NA	NA	NA	NA
ASV20740	NA	NA	NA	NA	NA	NA	NA
ASV20741	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum parvum
ASV20742	NA	NA	NA	NA	NA	NA	NA
ASV20743	NA	NA	NA	NA	NA	NA	NA
ASV20745	NA	NA	NA	NA	NA	NA	NA
ASV20746	NA	NA	NA	NA	NA	NA	NA
ASV20747	NA	NA	NA	NA	NA	NA	NA
ASV20748	NA	NA	NA	NA	NA	NA	NA
ASV20749	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia diffluens
ASV20750	NA	NA	NA	NA	NA	NA	NA
ASV20751	NA	NA	NA	NA	NA	NA	NA
ASV20752	NA	NA	NA	NA	NA	NA	NA
ASV20753	NA	NA	NA	NA	NA	NA	NA
ASV20754	NA	NA	NA	NA	NA	NA	NA
ASV20755	NA	NA	NA	NA	NA	NA	NA
ASV20756	NA	NA	NA	NA	NA	NA	NA
ASV20757	NA	NA	NA	NA	NA	NA	NA
ASV20758	NA	NA	NA	NA	NA	NA	NA
ASV20759	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV20760	NA	NA	NA	NA	NA	NA	NA
ASV20761	NA	NA	NA	NA	NA	NA	NA
ASV20762	NA	NA	NA	NA	NA	NA	NA
ASV20763	NA	NA	NA	NA	NA	NA	NA
ASV20765	NA	NA	NA	NA	NA	NA	NA
ASV20766	NA	NA	NA	NA	NA	NA	NA
ASV20767	NA	NA	NA	NA	NA	NA	NA
ASV20768	NA	NA	NA	NA	NA	NA	NA
ASV20769	NA	NA	NA	NA	NA	NA	NA
ASV20770	NA	NA	NA	NA	NA	NA	NA
ASV20771	NA	NA	NA	NA	NA	NA	NA
ASV20772	NA	NA	NA	NA	NA	NA	NA
ASV20773	NA	NA	NA	NA	NA	NA	NA
ASV20774	NA	NA	NA	NA	NA	NA	NA
ASV20775	NA	NA	NA	NA	NA	NA	NA
ASV20776	NA	NA	NA	NA	NA	NA	NA
ASV20777	NA	NA	NA	NA	NA	NA	NA
ASV20780	NA	NA	NA	NA	NA	NA	NA
ASV20781	NA	NA	NA	NA	NA	NA	NA
ASV20782	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20784	NA	NA	NA	NA	NA	NA	NA
ASV20785	NA	NA	NA	NA	NA	NA	NA
ASV20786	NA	NA	NA	NA	NA	NA	NA
ASV20787	NA	NA	NA	NA	NA	NA	NA
ASV20789	NA	NA	NA	NA	NA	NA	NA
ASV20790	NA	NA	NA	NA	NA	NA	NA
ASV20791	NA	NA	NA	NA	NA	NA	NA
ASV20792	NA	NA	NA	NA	NA	NA	NA
ASV20793	NA	NA	NA	NA	NA	NA	NA
ASV20794	NA	NA	NA	NA	NA	NA	NA
ASV20795	NA	NA	NA	NA	NA	NA	NA
ASV20796	NA	NA	NA	NA	NA	NA	NA
ASV20797	NA	NA	NA	NA	NA	NA	NA
ASV20798	NA	NA	NA	NA	NA	NA	NA
ASV20799	NA	NA	NA	NA	NA	NA	NA
ASV20800	NA	NA	NA	NA	NA	NA	NA
ASV20801	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV20803	NA	NA	NA	NA	NA	NA	NA
ASV20804	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV20805	NA	NA	NA	NA	NA	NA	NA
ASV20806	NA	NA	NA	NA	NA	NA	NA
ASV20807	NA	NA	NA	NA	NA	NA	NA
ASV20808	NA	NA	NA	NA	NA	NA	NA
ASV20809	NA	NA	NA	NA	NA	NA	NA
ASV20810	NA	NA	NA	NA	NA	NA	NA
ASV20811	NA	NA	NA	NA	NA	NA	NA
ASV20812	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV20813	Fungi	Monoblepharomycota	NA	NA	NA	NA	NA
ASV20814	NA	NA	NA	NA	NA	NA	NA
ASV20815	NA	NA	NA	NA	NA	NA	NA
ASV20816	NA	NA	NA	NA	NA	NA	NA
ASV20817	NA	NA	NA	NA	NA	NA	NA
ASV20818	NA	NA	NA	NA	NA	NA	NA
ASV20819	NA	NA	NA	NA	NA	NA	NA
ASV20820	NA	NA	NA	NA	NA	NA	NA
ASV20821	NA	NA	NA	NA	NA	NA	NA
ASV20822	NA	NA	NA	NA	NA	NA	NA
ASV20823	NA	NA	NA	NA	NA	NA	NA
ASV20824	NA	NA	NA	NA	NA	NA	NA
ASV20825	NA	NA	NA	NA	NA	NA	NA
ASV20826	NA	NA	NA	NA	NA	NA	NA
ASV20827	NA	NA	NA	NA	NA	NA	NA
ASV20828	NA	NA	NA	NA	NA	NA	NA
ASV20829	NA	NA	NA	NA	NA	NA	NA
ASV20830	NA	NA	NA	NA	NA	NA	NA
ASV20831	NA	NA	NA	NA	NA	NA	NA
ASV20832	NA	NA	NA	NA	NA	NA	NA
ASV20833	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
ASV20834	Fungi	NA	NA	NA	NA	NA	NA
ASV20835	NA	NA	NA	NA	NA	NA	NA
ASV20836	NA	NA	NA	NA	NA	NA	NA
ASV20837	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV20838	NA	NA	NA	NA	NA	NA	NA
ASV20839	NA	NA	NA	NA	NA	NA	NA
ASV20840	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella rhei
ASV20841	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV20842	NA	NA	NA	NA	NA	NA	NA
ASV20844	NA	NA	NA	NA	NA	NA	NA
ASV20845	NA	NA	NA	NA	NA	NA	NA
ASV20846	NA	NA	NA	NA	NA	NA	NA
ASV20847	NA	NA	NA	NA	NA	NA	NA
ASV20848	NA	NA	NA	NA	NA	NA	NA
ASV20849	NA	NA	NA	NA	NA	NA	NA
ASV20850	NA	NA	NA	NA	NA	NA	NA
ASV20851	NA	NA	NA	NA	NA	NA	NA
ASV20853	NA	NA	NA	NA	NA	NA	NA
ASV20856	NA	NA	NA	NA	NA	NA	NA
ASV20857	NA	NA	NA	NA	NA	NA	NA
ASV20858	NA	NA	NA	NA	NA	NA	NA
ASV20859	NA	NA	NA	NA	NA	NA	NA
ASV20860	NA	NA	NA	NA	NA	NA	NA
ASV20861	NA	NA	NA	NA	NA	NA	NA
ASV20862	NA	NA	NA	NA	NA	NA	NA
ASV20863	NA	NA	NA	NA	NA	NA	NA
ASV20864	NA	NA	NA	NA	NA	NA	NA
ASV20865	NA	NA	NA	NA	NA	NA	NA
ASV20866	NA	NA	NA	NA	NA	NA	NA
ASV20867	NA	NA	NA	NA	NA	NA	NA
ASV20868	NA	NA	NA	NA	NA	NA	NA
ASV20869	NA	NA	NA	NA	NA	NA	NA
