	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV2348	NA	NA	NA	NA	NA	NA	NA
ASV2349	NA	NA	NA	NA	NA	NA	NA
ASV2350	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2351	NA	NA	NA	NA	NA	NA	NA
ASV2352	NA	NA	NA	NA	NA	NA	NA
ASV2353	NA	NA	NA	NA	NA	NA	NA
ASV2354	NA	NA	NA	NA	NA	NA	NA
ASV2355	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella oligospora
ASV2356	NA	NA	NA	NA	NA	NA	NA
ASV2357	NA	NA	NA	NA	NA	NA	NA
ASV2358	NA	NA	NA	NA	NA	NA	NA
ASV2359	NA	NA	NA	NA	NA	NA	NA
ASV2360	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV2361	NA	NA	NA	NA	NA	NA	NA
ASV2362	NA	NA	NA	NA	NA	NA	NA
ASV2363	NA	NA	NA	NA	NA	NA	NA
ASV2364	NA	NA	NA	NA	NA	NA	NA
ASV2365	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	NA	NA
ASV2366	NA	NA	NA	NA	NA	NA	NA
ASV2367	NA	NA	NA	NA	NA	NA	NA
ASV2368	NA	NA	NA	NA	NA	NA	NA
ASV2369	NA	NA	NA	NA	NA	NA	NA
ASV2370	NA	NA	NA	NA	NA	NA	NA
ASV2371	NA	NA	NA	NA	NA	NA	NA
ASV2372	NA	NA	NA	NA	NA	NA	NA
ASV2373	NA	NA	NA	NA	NA	NA	NA
ASV2374	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	NA
ASV2375	NA	NA	NA	NA	NA	NA	NA
ASV2376	NA	NA	NA	NA	NA	NA	NA
ASV2377	NA	NA	NA	NA	NA	NA	NA
ASV2378	NA	NA	NA	NA	NA	NA	NA
ASV2379	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV2380	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV2381	NA	NA	NA	NA	NA	NA	NA
ASV2382	NA	NA	NA	NA	NA	NA	NA
ASV2383	NA	NA	NA	NA	NA	NA	NA
ASV2384	NA	NA	NA	NA	NA	NA	NA
ASV2385	NA	NA	NA	NA	NA	NA	NA
ASV2386	NA	NA	NA	NA	NA	NA	NA
ASV2387	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
ASV2388	Fungi	Ascomycota	Dothideomycetes	Bezerromycetales	Bezerromycetaceae	Bezerromyces	NA
ASV2389	NA	NA	NA	NA	NA	NA	NA
ASV2390	NA	NA	NA	NA	NA	NA	NA
ASV2391	NA	NA	NA	NA	NA	NA	NA
ASV2392	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV2393	NA	NA	NA	NA	NA	NA	NA
ASV2394	NA	NA	NA	NA	NA	NA	NA
ASV2395	NA	NA	NA	NA	NA	NA	NA
ASV2396	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	NA	NA
ASV2398	NA	NA	NA	NA	NA	NA	NA
ASV2399	NA	NA	NA	NA	NA	NA	NA
ASV2400	NA	NA	NA	NA	NA	NA	NA
ASV2401	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV2402	NA	NA	NA	NA	NA	NA	NA
ASV2403	NA	NA	NA	NA	NA	NA	NA
ASV2404	NA	NA	NA	NA	NA	NA	NA
ASV2405	NA	NA	NA	NA	NA	NA	NA
ASV2406	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
ASV2407	NA	NA	NA	NA	NA	NA	NA
ASV2408	NA	NA	NA	NA	NA	NA	NA
ASV2409	NA	NA	NA	NA	NA	NA	NA
ASV2410	NA	NA	NA	NA	NA	NA	NA
ASV2411	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus subsessilis
ASV2412	NA	NA	NA	NA	NA	NA	NA
ASV2413	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2414	NA	NA	NA	NA	NA	NA	NA
ASV2415	NA	NA	NA	NA	NA	NA	NA
ASV2416	NA	NA	NA	NA	NA	NA	NA
ASV2417	NA	NA	NA	NA	NA	NA	NA
ASV2418	NA	NA	NA	NA	NA	NA	NA
ASV2419	NA	NA	NA	NA	NA	NA	NA
ASV2420	NA	NA	NA	NA	NA	NA	NA
ASV2421	NA	NA	NA	NA	NA	NA	NA
ASV2422	NA	NA	NA	NA	NA	NA	NA
ASV2423	NA	NA	NA	NA	NA	NA	NA
ASV2424	NA	NA	NA	NA	NA	NA	NA
ASV2425	NA	NA	NA	NA	NA	NA	NA
ASV2426	NA	NA	NA	NA	NA	NA	NA
ASV2427	NA	NA	NA	NA	NA	NA	NA
ASV2428	NA	NA	NA	NA	NA	NA	NA
ASV2429	NA	NA	NA	NA	NA	NA	NA
ASV2430	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2432	NA	NA	NA	NA	NA	NA	NA
ASV2433	NA	NA	NA	NA	NA	NA	NA
ASV2434	NA	NA	NA	NA	NA	NA	NA
ASV2435	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV2436	NA	NA	NA	NA	NA	NA	NA
ASV2437	Fungi	Blastocladiomycota	NA	NA	NA	NA	NA
ASV2438	NA	NA	NA	NA	NA	NA	NA
ASV2439	NA	NA	NA	NA	NA	NA	NA
ASV2440	NA	NA	NA	NA	NA	NA	NA
ASV2441	NA	NA	NA	NA	NA	NA	NA
ASV2442	NA	NA	NA	NA	NA	NA	NA
ASV2443	NA	NA	NA	NA	NA	NA	NA
ASV2444	NA	NA	NA	NA	NA	NA	NA
ASV2445	NA	NA	NA	NA	NA	NA	NA
ASV2446	NA	NA	NA	NA	NA	NA	NA
ASV2447	NA	NA	NA	NA	NA	NA	NA
ASV2448	NA	NA	NA	NA	NA	NA	NA
ASV2449	NA	NA	NA	NA	NA	NA	NA
ASV2450	NA	NA	NA	NA	NA	NA	NA
ASV2451	NA	NA	NA	NA	NA	NA	NA
ASV2452	NA	NA	NA	NA	NA	NA	NA
ASV2453	NA	NA	NA	NA	NA	NA	NA
ASV2454	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	NA	NA
ASV2455	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
ASV2456	NA	NA	NA	NA	NA	NA	NA
ASV2457	NA	NA	NA	NA	NA	NA	NA
ASV2458	NA	NA	NA	NA	NA	NA	NA
ASV2459	NA	NA	NA	NA	NA	NA	NA
ASV2460	NA	NA	NA	NA	NA	NA	NA
ASV2461	NA	NA	NA	NA	NA	NA	NA
ASV2462	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV2463	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2464	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2465	NA	NA	NA	NA	NA	NA	NA
ASV2466	NA	NA	NA	NA	NA	NA	NA
ASV2467	NA	NA	NA	NA	NA	NA	NA
ASV2468	NA	NA	NA	NA	NA	NA	NA
ASV2469	NA	NA	NA	NA	NA	NA	NA
ASV2470	NA	NA	NA	NA	NA	NA	NA
ASV2471	NA	NA	NA	NA	NA	NA	NA
ASV2472	NA	NA	NA	NA	NA	NA	NA
ASV2473	NA	NA	NA	NA	NA	NA	NA
ASV2474	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	Keissleriella rosacearum
ASV2475	NA	NA	NA	NA	NA	NA	NA
ASV2476	NA	NA	NA	NA	NA	NA	NA
ASV2477	NA	NA	NA	NA	NA	NA	NA
ASV2478	NA	NA	NA	NA	NA	NA	NA
ASV2479	NA	NA	NA	NA	NA	NA	NA
ASV2480	NA	NA	NA	NA	NA	NA	NA
ASV2481	NA	NA	NA	NA	NA	NA	NA
ASV2482	NA	NA	NA	NA	NA	NA	NA
ASV2483	Fungi	Basidiomycota	Agaricomycetes	Corticiales	NA	NA	NA
ASV2484	NA	NA	NA	NA	NA	NA	NA
ASV2485	NA	NA	NA	NA	NA	NA	NA
ASV2486	NA	NA	NA	NA	NA	NA	NA
ASV2487	NA	NA	NA	NA	NA	NA	NA
ASV2488	NA	NA	NA	NA	NA	NA	NA
ASV2489	NA	NA	NA	NA	NA	NA	NA
ASV2490	Fungi	NA	NA	NA	NA	NA	NA
ASV2491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Byssosphaeria	Byssosphaeria siamensis
ASV2492	NA	NA	NA	NA	NA	NA	NA
ASV2493	NA	NA	NA	NA	NA	NA	NA
ASV2494	NA	NA	NA	NA	NA	NA	NA
ASV2495	NA	NA	NA	NA	NA	NA	NA
ASV2496	NA	NA	NA	NA	NA	NA	NA
